date,season,home,away,home_score,away_score,home_win_price,away_win_price,draw_price,outcome
2022-08-06,2022,Portland Timbers,FC Dallas,1,1,108,231,270,3
2022-08-06,2022,Real Salt Lake,Los Angeles FC,1,4,165,154,254,2
2022-08-06,2022,Austin FC,San Jose Earthquakes,3,3,-189,445,359,3
2022-08-06,2022,Colorado Rapids,Minnesota United,4,3,-156,394,316,1
2022-08-06,2022,Sporting Kansas City,Los Angeles Galaxy,4,2,177,137,269,1
2022-08-06,2022,Nashville SC,Toronto FC,3,4,-145,355,309,2
2022-08-06,2022,CF Montreal,Inter Miami,2,2,-182,469,326,3
2022-08-06,2022,Columbus Crew,New York City,3,2,127,200,250,1
2022-08-06,2022,DC United,New York Red Bulls,0,0,237,110,256,3
2022-08-06,2022,FC Cincinnati,Philadelphia Union,3,1,162,154,259,1
2022-08-06,2022,Orlando City,New England Revolution,0,3,-102,261,269,2
2022-08-06,2022,Charlotte,Chicago Fire,2,3,106,237,271,2
2022-08-06,2022,Atlanta Utd,Seattle Sounders,2,1,102,237,276,1
2022-08-05,2022,Vancouver Whitecaps,Houston Dynamo,2,1,108,242,254,1
2022-08-03,2022,Portland Timbers,Nashville SC,1,1,123,204,258,3
2022-08-03,2022,San Jose Earthquakes,Inter Miami,0,1,-108,258,284,2
2022-08-03,2022,Columbus Crew,CF Montreal,1,2,-111,294,264,2
2022-08-03,2022,Charlotte,DC United,3,0,-118,297,278,1
2022-08-02,2022,Seattle Sounders,FC Dallas,1,0,-137,354,289,1
2022-08-02,2022,New York Red Bulls,Colorado Rapids,4,5,-159,407,308,2
2022-07-31,2022,DC United,Orlando City,2,1,181,142,249,1
2022-07-30,2022,San Jose Earthquakes,Real Salt Lake,2,2,114,215,270,3
2022-07-30,2022,FC Dallas,Los Angeles Galaxy,1,0,117,208,270,1
2022-07-30,2022,Sporting Kansas City,Austin FC,0,2,189,131,263,2
2022-07-30,2022,Inter Miami,FC Cincinnati,4,4,123,204,263,3
2022-07-30,2022,Nashville SC,Vancouver Whitecaps,1,1,-175,499,301,3
2022-07-30,2022,New England Revolution,Toronto FC,0,0,-132,299,323,3
2022-07-30,2022,CF Montreal,New York City,0,0,129,186,270,3
2022-07-30,2022,Philadelphia Union,Houston Dynamo,6,0,-154,408,298,1
2022-07-30,2022,Chicago Fire,Atlanta Utd,0,0,100,246,272,3
2022-07-30,2022,Minnesota United,Portland Timbers,4,4,-111,270,289,3
2022-07-29,2022,Los Angeles FC,Seattle Sounders,2,1,-208,526,359,1
2022-07-24,2022,Los Angeles Galaxy,Atlanta Utd,2,0,-147,346,326,1
2022-07-24,2022,Austin FC,New York Red Bulls,3,4,108,238,267,2
2022-07-23,2022,Portland Timbers,San Jose Earthquakes,2,1,-120,282,316,1
2022-07-23,2022,Real Salt Lake,FC Dallas,0,1,104,264,250,2
2022-07-23,2022,Seattle Sounders,Colorado Rapids,2,1,-122,313,285,1
2022-07-23,2022,Vancouver Whitecaps,Chicago Fire,1,3,150,175,246,2
2022-07-23,2022,Houston Dynamo,Minnesota United,1,2,-109,283,272,2
2022-07-23,2022,Sporting Kansas City,Los Angeles FC,0,2,244,104,267,2
2022-07-23,2022,DC United,CF Montreal,1,2,200,129,257,2
2022-07-23,2022,Columbus Crew,New England Revolution,0,0,106,249,260,3
2022-07-23,2022,Orlando City,Philadelphia Union,0,1,148,177,245,2
2022-07-23,2022,Toronto FC,Charlotte,4,0,110,227,272,1
2022-07-23,2022,FC Cincinnati,Nashville SC,1,1,147,181,240,3
2022-07-23,2022,New York City,Inter Miami,2,0,-263,659,419,1
2022-07-17,2022,Portland Timbers,Vancouver Whitecaps,1,1,-152,378,313,3
2022-07-17,2022,Real Salt Lake,Sporting Kansas City,3,0,-130,359,272,1
2022-07-17,2022,San Jose Earthquakes,Houston Dynamo,1,2,119,204,275,2
2022-07-17,2022,Nashville SC,Los Angeles FC,1,2,146,185,240,2
2022-07-17,2022,Columbus Crew,FC Cincinnati,2,0,-123,305,294,1
2022-07-17,2022,New York Red Bulls,New York City,0,1,125,209,252,2
2022-07-17,2022,Atlanta Utd,Orlando City,1,1,129,193,262,3
2022-07-16,2022,Colorado Rapids,Los Angeles Galaxy,2,0,-106,265,281,1
2022-07-16,2022,FC Dallas,Austin FC,1,1,117,222,256,3
2022-07-16,2022,Chicago Fire,Seattle Sounders,1,0,102,260,259,1
2022-07-16,2022,Inter Miami,Charlotte,3,2,129,204,248,1
2022-07-16,2022,Minnesota United,DC United,2,0,-182,433,358,1
2022-07-16,2022,CF Montreal,Toronto FC,1,0,-172,438,328,1
2022-07-16,2022,Philadelphia Union,New England Revolution,2,1,114,224,260,1
2022-07-13,2022,Los Angeles Galaxy,San Jose Earthquakes,2,3,-154,353,341,2
2022-07-13,2022,Colorado Rapids,Orlando City,1,1,-114,291,276,3
2022-07-13,2022,FC Dallas,New York City,0,1,137,184,259,2
2022-07-13,2022,Nashville SC,Seattle Sounders,1,0,-103,291,244,1
2022-07-13,2022,Chicago Fire,Toronto FC,2,0,-141,332,324,1
2022-07-13,2022,DC United,Columbus Crew,2,2,152,175,242,3
2022-07-13,2022,FC Cincinnati,Vancouver Whitecaps,2,2,-120,309,284,3
2022-07-13,2022,Inter Miami,Philadelphia Union,1,2,175,152,241,2
2022-07-13,2022,Minnesota United,Sporting Kansas City,1,1,-161,413,321,3
2022-07-13,2022,Atlanta Utd,Real Salt Lake,2,1,-116,288,290,1
2022-07-12,2022,Austin FC,Houston Dynamo,3,1,100,252,272,1
2022-07-09,2022,Real Salt Lake,Colorado Rapids,2,2,108,252,246,3
2022-07-09,2022,Houston Dynamo,FC Dallas,2,2,136,199,243,3
2022-07-09,2022,Chicago Fire,Columbus Crew,2,3,134,211,231,2
2022-07-09,2022,Orlando City,Inter Miami,1,0,-132,350,289,1
2022-07-09,2022,FC Cincinnati,New York Red Bulls,1,1,168,150,259,3
2022-07-09,2022,CF Montreal,Sporting Kansas City,1,2,-120,320,278,2
2022-07-09,2022,Charlotte,Nashville SC,4,1,154,194,212,1
2022-07-09,2022,Toronto FC,San Jose Earthquakes,2,2,123,194,279,3
2022-07-09,2022,Atlanta Utd,Austin FC,0,3,-128,290,332,2
2022-07-09,2022,Seattle Sounders,Portland Timbers,0,3,-102,259,276,2
2022-07-09,2022,New York City,New England Revolution,4,2,-145,359,315,1
2022-07-08,2022,Vancouver Whitecaps,Minnesota United,1,3,148,174,254,2
2022-07-08,2022,Los Angeles FC,Los Angeles Galaxy,3,2,-132,319,308,1
2022-07-08,2022,Philadelphia Union,DC United,7,0,-145,388,293,1
2022-07-04,2022,Los Angeles Galaxy,CF Montreal,4,0,-133,326,305,1
2022-07-04,2022,Colorado Rapids,Austin FC,2,3,-128,332,292,2
2022-07-04,2022,FC Dallas,Inter Miami,1,1,-196,509,345,3
2022-07-04,2022,Orlando City,DC United,3,5,-122,315,284,2
2022-07-03,2022,San Jose Earthquakes,Chicago Fire,2,1,117,214,268,1
2022-07-03,2022,Houston Dynamo,Charlotte,1,2,-105,296,249,2
2022-07-03,2022,Nashville SC,Portland Timbers,2,2,-135,380,269,3
2022-07-03,2022,Minnesota United,Real Salt Lake,3,2,-110,294,267,1
2022-07-03,2022,Sporting Kansas City,New York Red Bulls,0,1,204,136,237,2
2022-07-03,2022,Columbus Crew,Philadelphia Union,0,0,121,247,221,3
2022-07-03,2022,New England Revolution,FC Cincinnati,2,2,-161,382,346,3
2022-07-03,2022,New York City,Atlanta Utd,2,2,-169,395,351,3
2022-07-02,2022,Vancouver Whitecaps,Los Angeles FC,1,0,204,125,265,1
2022-07-02,2022,Toronto FC,Seattle Sounders,0,2,120,202,278,2
2022-06-30,2022,New York Red Bulls,Atlanta Utd,2,1,-192,486,343,1
2022-06-30,2022,Charlotte,Austin FC,0,1,108,238,258,2
2022-06-29,2022,Los Angeles FC,FC Dallas,3,1,-141,358,298,1
2022-06-29,2022,Los Angeles Galaxy,Minnesota United,2,3,-123,298,300,2
2022-06-29,2022,Portland Timbers,Houston Dynamo,2,1,-137,351,292,1
2022-06-29,2022,Seattle Sounders,CF Montreal,1,2,-125,348,264,2
2022-06-29,2022,Chicago Fire,Philadelphia Union,1,0,147,188,231,1
2022-06-29,2022,FC Cincinnati,New York City,4,4,194,129,263,3
2022-06-29,2022,Toronto FC,Columbus Crew,1,2,145,177,250,2
2022-06-26,2022,Vancouver Whitecaps,New England Revolution,0,0,175,147,250,3
2022-06-26,2022,Philadelphia Union,New York City,2,1,160,170,235,1
2022-06-26,2022,Los Angeles FC,New York Red Bulls,2,0,-112,279,286,1
2022-06-25,2022,Portland Timbers,Colorado Rapids,3,0,-108,283,267,1
2022-06-25,2022,Real Salt Lake,Columbus Crew,0,0,-143,425,265,3
2022-06-25,2022,Austin FC,FC Dallas,2,2,150,174,249,3
2022-06-25,2022,Houston Dynamo,Chicago Fire,2,0,102,273,245,1
2022-06-25,2022,Inter Miami,Minnesota United,2,1,149,172,256,1
2022-06-25,2022,CF Montreal,Charlotte,2,1,-110,298,263,1
2022-06-25,2022,Toronto FC,Atlanta Utd,2,1,164,141,291,1
2022-06-25,2022,DC United,Nashville SC,1,3,152,191,221,2
2022-06-25,2022,Seattle Sounders,Sporting Kansas City,3,0,-123,337,270,1
2022-06-24,2022,FC Cincinnati,Orlando City,1,0,133,189,260,1
2022-06-19,2022,Nashville SC,Sporting Kansas City,1,2,-145,420,270,2
2022-06-19,2022,New England Revolution,Minnesota United,2,1,-141,351,308,1
2022-06-19,2022,New York City,Colorado Rapids,1,1,-192,517,336,3
2022-06-19,2022,Atlanta Utd,Inter Miami,2,0,-179,425,354,1
2022-06-18,2022,Real Salt Lake,San Jose Earthquakes,2,0,-143,370,299,1
2022-06-18,2022,FC Dallas,Vancouver Whitecaps,0,2,-208,542,359,2
2022-06-18,2022,Chicago Fire,DC United,1,0,-101,278,252,1
2022-06-18,2022,CF Montreal,Austin FC,0,1,112,225,279,2
2022-06-18,2022,Columbus Crew,Charlotte,1,1,108,266,231,3
2022-06-18,2022,Orlando City,Houston Dynamo,2,1,-120,326,270,1
2022-06-18,2022,Philadelphia Union,FC Cincinnati,1,1,-185,476,337,3
2022-06-18,2022,New York Red Bulls,Toronto FC,2,0,-303,734,459,1
2022-06-18,2022,Los Angeles Galaxy,Portland Timbers,1,1,-120,301,296,3
2022-06-18,2022,Seattle Sounders,Los Angeles FC,1,1,142,175,262,3
2022-06-15,2022,New England Revolution,Orlando City,1,1,-152,384,309,3
2022-06-14,2022,Seattle Sounders,Vancouver Whitecaps,4,0,-139,367,290,1
2022-06-12,2022,Sporting Kansas City,New England Revolution,1,2,204,129,246,2
2022-06-11,2022,Nashville SC,San Jose Earthquakes,0,0,-122,316,282,3
2022-06-11,2022,Charlotte,New York Red Bulls,2,0,320,-114,256,1
2022-06-04,2022,Vancouver Whitecaps,Real Salt Lake,2,1,196,147,222,1
2022-05-29,2022,Seattle Sounders,Charlotte,2,1,-175,463,321,1
2022-05-29,2022,Los Angeles Galaxy,Austin FC,4,1,-123,301,298,1
2022-05-28,2022,Real Salt Lake,Houston Dynamo,3,0,-109,303,254,1
2022-05-28,2022,Colorado Rapids,Nashville SC,1,3,-112,351,233,2
2022-05-28,2022,Sporting Kansas City,Vancouver Whitecaps,0,1,-101,305,237,2
2022-05-28,2022,Inter Miami,Portland Timbers,2,1,138,196,241,1
2022-05-28,2022,Minnesota United,New York City,0,1,240,104,275,2
2022-05-28,2022,CF Montreal,FC Cincinnati,4,3,-123,305,298,1
2022-05-28,2022,New England Revolution,Philadelphia Union,1,1,-102,273,263,3
2022-05-28,2022,Orlando City,FC Dallas,1,3,146,192,231,2
2022-05-28,2022,Atlanta Utd,Columbus Crew,1,2,-111,288,274,2
2022-05-28,2022,New York Red Bulls,DC United,4,1,-172,462,318,1
2022-05-28,2022,Toronto FC,Chicago Fire,3,2,170,148,258,1
2022-05-28,2022,Los Angeles FC,San Jose Earthquakes,3,2,-159,383,329,1
2022-05-22,2022,Portland Timbers,Philadelphia Union,0,2,139,204,229,2
2022-05-22,2022,Austin FC,Orlando City,2,2,-101,264,265,3
2022-05-22,2022,Colorado Rapids,Seattle Sounders,1,0,106,265,240,1
2022-05-22,2022,Los Angeles Galaxy,Houston Dynamo,0,3,-130,347,278,2
2022-05-22,2022,San Jose Earthquakes,Sporting Kansas City,1,1,-122,328,270,3
2022-05-22,2022,FC Dallas,Minnesota United,1,2,104,252,258,2
2022-05-22,2022,Inter Miami,New York Red Bulls,2,0,299,-110,261,1
2022-05-22,2022,Charlotte,Vancouver Whitecaps,2,1,-159,444,292,1
2022-05-22,2022,New York City,Chicago Fire,1,0,-200,517,348,1
2022-05-22,2022,CF Montreal,Real Salt Lake,1,2,-154,405,301,2
2022-05-21,2022,Nashville SC,Atlanta Utd,2,2,110,263,231,3
2022-05-21,2022,DC United,Toronto FC,2,2,-233,560,398,3
2022-05-21,2022,FC Cincinnati,New England Revolution,2,3,156,158,264,2
2022-05-21,2022,Columbus Crew,Los Angeles FC,0,2,106,241,263,2
2022-05-18,2022,Los Angeles FC,Austin FC,1,2,-179,451,341,2
2022-05-18,2022,San Jose Earthquakes,Portland Timbers,3,2,108,244,260,1
2022-05-18,2022,Vancouver Whitecaps,FC Dallas,2,1,215,131,236,1
2022-05-18,2022,Houston Dynamo,Seattle Sounders,0,1,175,165,224,2
2022-05-18,2022,Nashville SC,CF Montreal,2,1,102,285,237,1
2022-05-18,2022,Sporting Kansas City,Colorado Rapids,2,1,156,175,237,1
2022-05-18,2022,Minnesota United,Los Angeles Galaxy,1,1,137,184,262,3
2022-05-18,2022,DC United,New York City,0,2,215,120,260,2
2022-05-18,2022,New York Red Bulls,Chicago Fire,3,3,-172,500,301,3
2022-05-18,2022,Philadelphia Union,Inter Miami,0,0,-244,668,375,3
2022-05-15,2022,Seattle Sounders,Minnesota United,3,1,-156,417,303,1
2022-05-15,2022,Atlanta Utd,New England Revolution,2,2,120,212,263,3
2022-05-14,2022,Los Angeles Galaxy,FC Dallas,1,3,-125,344,273,2
2022-05-14,2022,Portland Timbers,Sporting Kansas City,7,2,-112,313,259,1
2022-05-14,2022,Real Salt Lake,Austin FC,2,1,129,208,245,1
2022-05-14,2022,Houston Dynamo,Nashville SC,2,0,139,222,212,1
2022-05-14,2022,Chicago Fire,FC Cincinnati,1,2,-110,297,264,2
2022-05-14,2022,Inter Miami,DC United,2,2,162,171,235,3
2022-05-14,2022,Philadelphia Union,New York Red Bulls,1,1,123,243,224,3
2022-05-14,2022,Charlotte,CF Montreal,0,2,152,185,231,2
2022-05-14,2022,New York City,Columbus Crew,2,0,-161,422,313,1
2022-05-14,2022,Vancouver Whitecaps,San Jose Earthquakes,3,3,142,187,246,3
2022-05-14,2022,Colorado Rapids,Los Angeles FC,2,0,150,168,260,1
2022-05-14,2022,Toronto FC,Orlando City,0,1,260,104,254,2
2022-05-08,2022,Austin FC,Los Angeles Galaxy,0,1,143,183,259,2
2022-05-08,2022,Nashville SC,Real Salt Lake,2,0,-156,465,284,1
2022-05-08,2022,Vancouver Whitecaps,Toronto FC,1,0,-133,351,297,1
2022-05-07,2022,Los Angeles FC,Philadelphia Union,2,2,100,272,259,3
2022-05-07,2022,San Jose Earthquakes,Colorado Rapids,1,0,140,190,248,1
2022-05-07,2022,FC Dallas,Seattle Sounders,2,0,-167,463,300,1
2022-05-07,2022,Minnesota United,FC Cincinnati,0,1,-132,330,307,2
2022-05-07,2022,DC United,Houston Dynamo,2,0,-112,305,266,1
2022-05-07,2022,New England Revolution,Columbus Crew,2,2,-128,355,272,3
2022-05-07,2022,New York City,Sporting Kansas City,0,0,-227,584,375,3
2022-05-07,2022,New York Red Bulls,Portland Timbers,1,1,-227,642,361,3
2022-05-07,2022,Atlanta Utd,Chicago Fire,4,1,-200,576,323,1
2022-05-07,2022,CF Montreal,Orlando City,4,1,108,262,242,1
2022-05-07,2022,Charlotte,Inter Miami,1,0,-149,418,290,1
2022-05-04,2022,FC Cincinnati,Toronto FC,2,0,-109,261,294,1
2022-05-01,2022,Los Angeles FC,Minnesota United,2,0,-204,509,367,1
2022-05-01,2022,Nashville SC,Philadelphia Union,1,1,147,222,204,3
2022-05-01,2022,New York City,San Jose Earthquakes,3,0,-256,600,430,1
2022-04-30,2022,Colorado Rapids,Portland Timbers,2,0,-156,423,303,1
2022-04-30,2022,Sporting Kansas City,FC Dallas,2,2,131,209,241,3
2022-04-30,2022,Chicago Fire,New York Red Bulls,1,2,240,123,225,2
2022-04-30,2022,Columbus Crew,DC United,3,0,-111,313,256,1
2022-04-30,2022,New England Revolution,Inter Miami,2,0,-213,554,363,1
2022-04-30,2022,Orlando City,Charlotte,2,1,-114,338,249,1
2022-04-30,2022,CF Montreal,Atlanta Utd,2,1,120,231,243,1
2022-04-30,2022,Real Salt Lake,Los Angeles Galaxy,1,0,147,181,244,1
2022-04-30,2022,Toronto FC,FC Cincinnati,1,2,-122,291,313,2
2022-04-30,2022,Houston Dynamo,Austin FC,1,2,131,194,265,2
2022-04-24,2022,FC Cincinnati,Los Angeles FC,1,2,324,-135,330,2
2022-04-24,2022,New York City,Toronto FC,5,4,-227,598,376,1
2022-04-24,2022,Orlando City,New York Red Bulls,0,3,142,206,225,2
2022-04-24,2022,Inter Miami,Atlanta Utd,2,1,164,166,238,1
2022-04-23,2022,Los Angeles Galaxy,Nashville SC,1,0,106,279,235,1
2022-04-23,2022,Portland Timbers,Real Salt Lake,0,0,-115,301,279,3
2022-04-23,2022,San Jose Earthquakes,Seattle Sounders,4,3,167,163,246,1
2022-04-23,2022,Colorado Rapids,Charlotte,0,0,-161,472,293,3
2022-04-23,2022,Austin FC,Vancouver Whitecaps,3,0,-159,409,322,1
2022-04-23,2022,Sporting Kansas City,Columbus Crew,0,0,149,193,229,3
2022-04-23,2022,DC United,New England Revolution,3,2,136,185,264,1
2022-04-23,2022,Minnesota United,Chicago Fire,3,0,108,274,234,1
2022-04-23,2022,FC Dallas,Houston Dynamo,2,1,-116,330,259,1
2022-04-23,2022,Philadelphia Union,CF Montreal,1,1,-128,365,266,3
2022-04-17,2022,Los Angeles FC,Sporting Kansas City,3,1,-185,516,332,1
2022-04-17,2022,New York City,Real Salt Lake,6,0,-213,640,336,1
2022-04-16,2022,Seattle Sounders,Inter Miami,0,1,-116,338,266,2
2022-04-16,2022,Chicago Fire,Los Angeles Galaxy,0,0,156,174,241,3
2022-04-16,2022,Minnesota United,Colorado Rapids,3,1,125,221,244,1
2022-04-16,2022,Columbus Crew,Orlando City,0,2,-122,343,270,2
2022-04-16,2022,DC United,Austin FC,2,3,100,274,264,2
2022-04-16,2022,New England Revolution,Charlotte,2,1,-154,401,317,1
2022-04-16,2022,Toronto FC,Philadelphia Union,2,1,213,131,243,1
2022-04-16,2022,New York Red Bulls,FC Dallas,0,0,-127,365,264,3
2022-04-16,2022,Atlanta Utd,FC Cincinnati,0,0,-139,372,300,3
2022-04-16,2022,Houston Dynamo,Portland Timbers,0,0,120,229,244,3
2022-04-16,2022,San Jose Earthquakes,Nashville SC,2,2,190,152,227,3
2022-04-16,2022,CF Montreal,Vancouver Whitecaps,2,1,-149,405,295,1
2022-04-10,2022,Austin FC,Minnesota United,1,0,102,245,281,1
2022-04-10,2022,Charlotte,Atlanta Utd,1,0,154,183,231,1
2022-04-09,2022,Vancouver Whitecaps,Portland Timbers,2,3,173,158,237,2
2022-04-09,2022,FC Dallas,Colorado Rapids,3,1,100,307,233,1
2022-04-09,2022,Houston Dynamo,San Jose Earthquakes,4,3,-137,359,296,1
2022-04-09,2022,Sporting Kansas City,Nashville SC,1,2,146,224,202,2
2022-04-09,2022,Real Salt Lake,Toronto FC,2,2,-115,303,280,3
2022-04-09,2022,Los Angeles Galaxy,Los Angeles FC,2,1,152,160,271,1
2022-04-09,2022,Philadelphia Union,Columbus Crew,1,0,117,252,229,1
2022-04-09,2022,New York Red Bulls,CF Montreal,1,2,-164,459,304,2
2022-04-09,2022,Inter Miami,New England Revolution,3,2,194,131,263,1
2022-04-09,2022,Orlando City,Chicago Fire,1,0,-109,317,249,1
2022-04-03,2022,Portland Timbers,Los Angeles Galaxy,1,3,119,211,273,2
2022-04-02,2022,Colorado Rapids,Real Salt Lake,1,1,-167,480,300,3
2022-04-02,2022,Inter Miami,Houston Dynamo,1,3,127,217,244,2
2022-04-02,2022,Minnesota United,Seattle Sounders,1,2,110,256,245,2
2022-04-02,2022,Vancouver Whitecaps,Sporting Kansas City,1,0,164,181,222,1
2022-04-02,2022,DC United,Atlanta Utd,0,1,116,241,246,2
2022-04-02,2022,New England Revolution,New York Red Bulls,0,1,136,202,243,2
2022-04-02,2022,Orlando City,Los Angeles FC,2,4,145,188,243,2
2022-04-02,2022,Philadelphia Union,Charlotte,2,0,-217,631,348,1
2022-04-02,2022,San Jose Earthquakes,Austin FC,2,2,138,189,257,3
2022-04-02,2022,Columbus Crew,Nashville SC,0,1,-103,313,237,2
2022-04-02,2022,FC Cincinnati,CF Montreal,3,4,137,196,246,2
2022-04-02,2022,Toronto FC,New York City,2,1,273,-101,260,1
2022-04-02,2022,Chicago Fire,FC Dallas,0,0,102,284,242,3
2022-03-27,2022,Portland Timbers,Orlando City,1,1,-111,307,260,3
2022-03-26,2022,Sporting Kansas City,Real Salt Lake,1,0,-104,301,246,1
2022-03-26,2022,Charlotte,FC Cincinnati,2,0,125,223,239,1
2022-03-20,2022,Los Angeles FC,Vancouver Whitecaps,3,1,-303,824,438,1
2022-03-20,2022,Austin FC,Seattle Sounders,1,1,-102,278,264,3
2022-03-20,2022,New York Red Bulls,Columbus Crew,1,1,104,280,242,3
2022-03-19,2022,Real Salt Lake,Nashville SC,2,1,170,190,200,1
2022-03-19,2022,FC Dallas,Portland Timbers,4,1,-112,309,266,1
2022-03-19,2022,Houston Dynamo,Colorado Rapids,1,1,124,229,241,3
2022-03-19,2022,Minnesota United,San Jose Earthquakes,1,0,-133,349,297,1
2022-03-19,2022,Charlotte,New England Revolution,3,1,202,125,264,1
2022-03-19,2022,Chicago Fire,Sporting Kansas City,3,1,-137,391,277,1
2022-03-19,2022,Atlanta Utd,CF Montreal,3,3,-125,344,273,3
2022-03-19,2022,Los Angeles Galaxy,Orlando City,0,1,-119,328,270,2
2022-03-19,2022,Toronto FC,DC United,2,1,134,192,257,1
2022-03-19,2022,FC Cincinnati,Inter Miami,3,1,104,261,259,1
2022-03-19,2022,New York City,Philadelphia Union,0,2,-127,351,278,2
2022-03-13,2022,New York Red Bulls,Minnesota United,0,1,-175,500,303,2
2022-03-13,2022,Atlanta Utd,Charlotte,2,1,-196,522,338,1
2022-03-12,2022,Portland Timbers,Austin FC,1,0,-103,266,276,1
2022-03-12,2022,Colorado Rapids,Sporting Kansas City,2,0,-128,363,271,1
2022-03-12,2022,FC Dallas,Nashville SC,2,0,156,204,206,1
2022-03-12,2022,DC United,Chicago Fire,0,2,123,233,235,2
2022-03-12,2022,New England Revolution,Real Salt Lake,2,3,-133,380,275,2
2022-03-12,2022,Orlando City,FC Cincinnati,1,2,-185,505,333,2
2022-03-12,2022,Philadelphia Union,San Jose Earthquakes,2,0,-189,525,329,1
2022-03-12,2022,Houston Dynamo,Vancouver Whitecaps,2,1,-143,392,284,1
2022-03-12,2022,Seattle Sounders,Los Angeles Galaxy,3,2,-103,285,257,1
2022-03-12,2022,Columbus Crew,Toronto FC,2,1,-244,601,404,1
2022-03-12,2022,Inter Miami,Los Angeles FC,0,2,266,100,271,2
2022-03-12,2022,New York City,CF Montreal,4,1,-244,662,378,1
2022-03-06,2022,Los Angeles FC,Portland Timbers,1,1,-200,476,375,3
2022-03-06,2022,Austin FC,Inter Miami,5,1,-147,400,296,1
2022-03-05,2022,Charlotte,Los Angeles Galaxy,0,1,179,143,256,2
2022-03-05,2022,Chicago Fire,Orlando City,0,0,-109,294,261,3
2022-03-05,2022,Colorado Rapids,Atlanta Utd,3,0,-119,349,254,1
2022-03-05,2022,FC Cincinnati,DC United,0,1,213,127,243,2
2022-03-05,2022,Minnesota United,Nashville SC,1,1,175,173,212,3
2022-03-05,2022,Real Salt Lake,Seattle Sounders,1,0,127,241,213,1
2022-03-05,2022,Vancouver Whitecaps,New York City,0,0,270,102,250,3
2022-03-05,2022,San Jose Earthquakes,Columbus Crew,3,3,169,154,254,3
2022-03-05,2022,CF Montreal,Philadelphia Union,1,2,143,200,229,2
2022-03-05,2022,Sporting Kansas City,Houston Dynamo,1,0,-106,294,260,1
2022-03-05,2022,Toronto FC,New York Red Bulls,1,4,159,177,235,2
2022-03-05,2022,New England Revolution,FC Dallas,1,0,-179,442,347,1
2022-02-27,2022,Seattle Sounders,Nashville SC,0,1,108,286,224,2
2022-02-27,2022,Houston Dynamo,Real Salt Lake,0,0,-159,455,291,3
2022-02-27,2022,Los Angeles Galaxy,New York City,1,0,164,164,243,1
2022-02-27,2022,Atlanta Utd,Sporting Kansas City,3,1,104,266,248,1
2022-02-27,2022,Orlando City,CF Montreal,2,0,-102,291,249,1
2022-02-26,2022,Portland Timbers,New England Revolution,2,2,137,184,260,3
2022-02-26,2022,Austin FC,FC Cincinnati,5,0,-152,399,301,1
2022-02-26,2022,DC United,Charlotte,3,0,-152,430,289,1
2022-02-26,2022,Inter Miami,Chicago Fire,0,0,169,162,238,3
2022-02-26,2022,San Jose Earthquakes,New York Red Bulls,1,3,160,181,223,2
2022-02-26,2022,FC Dallas,Toronto FC,1,1,-101,261,271,3
2022-02-26,2022,Columbus Crew,Vancouver Whitecaps,4,0,-175,490,309,1
2022-02-26,2022,Los Angeles FC,Colorado Rapids,3,0,-133,363,283,1
2022-02-26,2022,Philadelphia Union,Minnesota United,1,1,-102,303,239,3
2021-12-11,2021,Portland Timbers,New York City,1,2,177,171,216,3
2021-12-05,2021,Philadelphia Union,New York City,1,2,290,106,227,2
2021-12-04,2021,Portland Timbers,Real Salt Lake,2,0,-137,359,298,1
2021-11-30,2021,New England Revolution,New York City,2,3,104,249,264,3
2021-11-28,2021,Philadelphia Union,Nashville SC,2,1,133,246,199,3
2021-11-28,2021,Sporting Kansas City,Real Salt Lake,1,2,-172,467,313,2
2021-11-25,2021,Colorado Rapids,Portland Timbers,0,1,-167,443,312,2
2021-11-23,2021,Seattle Sounders,Real Salt Lake,0,1,-172,476,309,3
2021-11-23,2021,Nashville SC,Orlando City,3,1,100,322,219,1
2021-11-21,2021,Portland Timbers,Minnesota United,3,1,110,224,277,1
2021-11-21,2021,New York City,Atlanta Utd,2,0,-132,365,273,1
2021-11-20,2021,Sporting Kansas City,Vancouver Whitecaps,3,1,-189,520,322,1
2021-11-20,2021,Philadelphia Union,New York Red Bulls,1,0,147,215,204,3
2021-11-07,2021,Colorado Rapids,Los Angeles FC,5,2,124,199,273,1
2021-11-07,2021,Los Angeles Galaxy,Minnesota United,3,3,-115,296,280,3
2021-11-07,2021,Portland Timbers,Austin FC,3,0,-145,341,330,1
2021-11-07,2021,San Jose Earthquakes,FC Dallas,1,1,106,227,287,3
2021-11-07,2021,Sporting Kansas City,Real Salt Lake,0,1,-135,322,316,2
2021-11-07,2021,Vancouver Whitecaps,Seattle Sounders,1,1,199,141,233,3
2021-11-07,2021,CF Montreal,Orlando City,0,2,110,241,256,2
2021-11-07,2021,Columbus Crew,Chicago Fire,2,0,-152,373,330,1
2021-11-07,2021,FC Cincinnati,Atlanta Utd,1,2,300,-123,309,2
2021-11-07,2021,Nashville SC,New York Red Bulls,1,1,139,247,192,3
2021-11-07,2021,New England Revolution,Inter Miami,0,1,-333,797,475,2
2021-11-07,2021,New York City,Philadelphia Union,1,1,-132,358,281,3
2021-11-07,2021,Toronto FC,DC United,1,3,167,143,273,2
2021-11-03,2021,Real Salt Lake,Portland Timbers,1,3,-105,267,281,2
